geonameid;name;asciiname;latitude;longitude;feature code
3047407;Nemeskeresztúr Vasúti Megállóhely;Nemeskeresztur Vasuti Megallohely;47,0928;17,1833;RSTP
3047416;Nemesgulács-Kisapáti Vasúti Megállóhely;Nemesgulacs-Kisapati Vasuti Megallohely;46,8333;17,4833;RSTP
3047418;Nemesgörzsöny Vasúti Megállóhely;Nemesgorzsony Vasuti Megallohely;47,4030;17,3764;RSTP
3047500;Nagytétény-Érdliget Vasúti Megállóhely;Nagyteteny-Erdliget Vasuti Megallohely;47,3845;18,9550;RSTP
3047557;Nagysimonyi Vasúti Megállóhely;Nagysimonyi Vasuti Megallohely;47,2656;17,0575;RSTP
3047584;Nagypeterd Vasúti Megállóhely;Nagypeterd Vasuti Megallohely;46,0500;17,9000;RSTP
3047599;Nagypall Vasúti Megállóhely;Nagypall Vasuti Megallohely;46,1479;18,4601;RSTP
3047609;Nagynyír Vasúti Megállóhely;Nagynyir Vasuti Megallohely;46,9500;19,5833;RSTP
3047610;Nagynyárád Vasúti Megállóhely;Nagynyarad Vasuti Megallohely;45,9578;18,5871;RSTP
3047617;Nagymaros-Visegrád Vasúti Megállóhely;Nagymaros-Visegrad Vasuti Megallohely;47,8000;18,9667;RSTP
3047656;Nagykonda Vasúti Megállóhely;Nagykonda Vasuti Megallohely;46,4333;18,2000;RSTP
3047673;Nagykarácsony Felső Vasúti Megállóhely;Nagykaracsony Felso Vasuti Megallohely;46,8796;18,7917;RSTP
3047776;Nagycsány Vasúti Megállóhely;Nagycsany Vasuti Megallohely;45,8667;17,9500;RSTP
3047793;Nagyberki Vasúti Megállóhely;Nagyberki Vasuti Megallohely;46,3667;18,0167;RSTP
3047850;Nádasd Vasúti Megállóhely;Nadasd Vasuti Megallohely;46,9667;16,6167;RSTP
3047924;Mórágy-Alsónána Vasúti Megállóhely;Moragy-Alsonana Vasuti Megallohely;46,2226;18,6580;RSTP
3047940;Monori Erdő Vasúti Megállóhely;Monori Erdo Vasuti Megallohely;47,3000;19,5000;RSTP
3047943;Molvány Vasúti Megállóhely;Molvany Vasuti Megallohely;46,0333;17,7500;RSTP
3047994;Möcsény Vasúti Megállóhely;Mocseny Vasuti Megallohely;46,2667;18,6000;RSTP
3048046;Miklóstelep Vasúti Megállóhely;Miklostelep Vasuti Megallohely;46,9000;19,6500;RSTP
3048081;Mihályháza Vasúti Megállóhely;Mihalyhaza Vasuti Megallohely;47,3179;17,3298;RSTP
3048173;Méntelek Vasúti Megállóhely;Mentelek Vasuti Megallohely;46,9667;19,5833;RSTP
3048176;Ménfőcsanak Felső Vasúti Megállóhely;Menfocsanak Felso Vasuti Megallohely;47,6333;17,6167;RSTP
3048179;Ménesmajor Vasúti Megállóhely;Menesmajor Vasuti Megallohely;46,8833;18,8000;RSTP
3048232;Meggyespele Vasúti Megállóhely;Meggyespele Vasuti Megallohely;47,4333;19,9500;RSTP
3048248;Mecsekpölöske Vasúti Megállóhely;Mecsekpoloske Vasuti Megallohely;46,2167;18,2167;RSTP
3048261;Mázaszászvár Alsó Vasúti Megállóhely;Mazaszaszvar Also Vasuti Megallohely;46,2833;18,3667;RSTP
3048273;Mátyásföld Alsó Vasúti Megállóhely;Matyasfold Also Vasuti Megallohely;47,5157;19,2063;RSTP
3048280;Mátraverebély Vasúti Megállóhely;Matraverebely Vasuti Megallohely;47,9685;19,7791;RSTP
3048283;Mátraszőlős-Hasznos Vasúti Megállóhely;Matraszolos-Hasznos Vasuti Megallohely;47,9393;19,7075;RSTP
3048354;Márok Vasúti Megállóhely;Marok Vasuti Megallohely;45,8877;18,5000;RSTP
3048370;Márkó Vasúti Megállóhely;Marko Vasuti Megallohely;47,1272;17,8131;RSTP
3048385;Máriaudvar Vasúti Megállóhely;Mariaudvar Vasuti Megallohely;47,7500;19,1667;RSTP
3048427;Máriagyűd Vasúti Megállóhely;Mariagyud Vasuti Megallohely;45,8671;18,2691;RSTP
3048429;Máriabesnyő Vasúti Megállóhely;Mariabesnyo Vasuti Megallohely;47,6000;19,4000;RSTP
3048448;Marcaltő Vasúti Megállóhely;Marcalto Vasuti Megallohely;47,4278;17,3488;RSTP
3048572;Magyarszerdahely Vasúti Megállóhely;Magyarszerdahely Vasuti Megallohely;46,5500;17,0000;RSTP
3048592;Magyarkút-Verőcemaros Vasúti Megállóhely;Magyarkut-Verocemaros Vasuti Megallohely;47,8333;19,0500;RSTP
3048593;Magyarkút Vasúti Megállóhely;Magyarkut Vasuti Megallohely;47,8481;19,0473;RSTP
3048596;Magyarkeresztúr-Zsebeháza Vasúti Megállóhely;Magyarkeresztur-Zsebehaza Vasuti Megallohely;47,5143;17,1761;RSTP
3048601;Magyarhertelend Vasúti Megállóhely;Magyarhertelend Vasuti Megallohely;46,2000;18,1667;RSTP
3048629;Maglódi Nyaraló Vasúti Megállóhely;Maglodi Nyaralo Vasuti Megallohely;47,4348;19,3648;RSTP
3048698;Ludányhalászi Vasúti Megállóhely;Ludanyhalaszi Vasuti Megallohely;48,1321;19,5285;RSTP
3048814;Levél Vasúti Megállóhely;Level Vasuti Megallohely;47,8895;17,1931;RSTP
3048843;Lentiszombathely Vasúti Megállóhely;Lentiszombathely Vasuti Megallohely;46,6167;16,5667;RSTP
3048898;Lázi Vasúti Megállóhely;Lazi Vasuti Megallohely;47,4667;17,8333;RSTP
3049001;Lajosmizse Alsó Vasúti Megállóhely;Lajosmizse Also Vasuti Megallohely;47,0147;19,5494;RSTP
3049060;Kutas Vasúti Megállóhely;Kutas Vasuti Megallohely;46,3333;17,4500;RSTP
3049103;Kunszállás Vasúti Megállóhely;Kunszallas Vasuti Megallohely;46,7833;19,7667;RSTP
3049108;Küngös Vasúti Megállóhely;Kungos Vasuti Megallohely;47,0667;18,1833;RSTP
3049161;Kulcs Vasúti Megállóhely;Kulcs Vasuti Megallohely;47,0500;18,9000;RSTP
3049313;Kővágóér Vasúti Megállóhely;Kovagoer Vasuti Megallohely;46,6500;19,8167;RSTP
3049333;Kovácshida Vasúti Megállóhely;Kovacshida Vasuti Megallohely;45,8372;18,1898;RSTP
3049363;Kőszegfalva Vasúti Megállóhely;Koszegfalva Vasuti Megallohely;47,3616;16,5677;RSTP
3049441;Korhánköz Vasúti Megállóhely;Korhankoz Vasuti Megallohely;46,8833;19,6500;RSTP
3049455;Kopolya Vasúti Megállóhely;Kopolya Vasuti Megallohely;46,4000;19,4833;RSTP
3049460;Kópháza Vasúti Megállóhely;Kophaza Vasuti Megallohely;47,6328;16,6370;RSTP
3049504;Köncsög Vasúti Megállóhely;Koncsog Vasuti Megallohely;46,8528;19,5220;RSTP
3049528;Kolontár Vasúti Megállóhely;Kolontar Vasuti Megallohely;47,0892;17,4769;RSTP
3049644;Kőbánya Alsó Vasúti Megállóhely;Kobanya Also Vasuti Megallohely;47,4832;19,1274;RSTP
3049652;Klotildliget Vasúti Megállóhely;Klotildliget Vasuti Megallohely;47,6360;18,8508;RSTP
3049668;Kitérőgyár Vasúti Megállóhely;Kiterogyar Vasuti Megallohely;47,7667;19,9500;RSTP
3049695;Kistótfalu Vasúti Megállóhely;Kistotfalu Vasuti Megallohely;45,9096;18,3155;RSTP
3049707;Kisterenye-Bányatelep Vasúti Megállóhely;Kisterenye-Banyatelep Vasuti Megallohely;48,0333;19,8333;RSTP
3049712;Kisteleki Szőlők Vasúti Megállóhely;Kisteleki Szolok Vasuti Megallohely;46,5167;19,9333;RSTP
3049820;Kisnémedi Vasúti Megállóhely;Kisnemedi Vasuti Megallohely;47,7167;19,2667;RSTP
