geo_id;city;name;latitude;longitude
719266;Kelenc;Kelenc Vasúti Megállóhely;47.3333;21.2
3051131;Inárcs-Kakucs;Inárcs-Kakucs Vasútállomás;47.25;19.3167
721308;Dombrád;Dombrád Vasútállomás;48.2333;21.9167
3051523;Herceghalom;Herceghalom Vasútállomás;47.494;18.7486
3052007;Győrasszonyfa;Győrasszonyfa Vasútállomás;47.5;17.8
3048185;Mende;Mende Vasútállomás;47.4333;19.45
3047688;Nagyigmánd-Bábolna;Nagyigmánd-Bábolna Vasútállomás;47.6667;18.05
3043751;Tósokberénd;Tósokberénd Vasúti Megállóhely;47.0918;17.5333
3046464;Pereszteg;Pereszteg Vasúti Megállóhely;47.5881;16.7209
719641;Jászkisér;Jászkisér Vasútállomás;47.4667;20.2
717241;Nagylak;Nagylak Vasútállomás;46.1667;20.7
3046198;Portelek;Portelek Vasúti Megállóhely;47.4154;19.9608
3042857;Vilonya-Királyszentistván;Vilonya-Királyszentistván Vasúti Megállóhely;47.1167;18.0667
6691854;Szemeretelep;Szemeretelep Vasúti Megállóhely;47.4434;19.2131
719402;Karcag-Ipartelep;Karcag-Ipartelep Vasúti Megállóhely;47.35;20.8833
720441;Gorzsa;Gorzsa Vasúti Megállóhely;46.3667;20.4333
718536;Kórógy;Kórógyszentgyörgy Vasúti Megállóhely;46.5667;20.2167
3045964;Rákospalota-Kertváros;Rákospalota-Kertváros Vasúti Megállóhely;47.5833;19.1333
715417;Szegi;Szegi Vasúti Megállóhely;48.2167;21.4
713930;Zagyvarékas;Zagyvarékas Vasúti Megállóhely;47.25;20.1
3056095;Alsóörs;Alsóörs Vasútállomás;46.9833;17.9833
3048592;Magyarkút-Verőce;Magyarkút-Verőcemaros Vasúti Megállóhely;47.8333;19.05
719417;Karácsond;Karácsond Vasútállomás;47.7168;20.0447
3053767;Decs;Decs Vasútállomás;46.2833;18.7667
3056425;Ács;Ács Vasútállomás;47.7167;18.0
3052691;Fenékpuszta;Fenékpuszta Vasúti Megállóhely;46.7167;17.25
715198;Szirmabesenyő;Szirmabesenyő Vasúti Megállóhely;48.1483;20.7827
3052810;Felsőméntelek;Felsőméntelek Vasúti Megállóhely;46.9862;19.5588
3055051;Bezenye;Bezenye Vasúti Megállóhely;47.9667;17.2167
716843;Ököritó;Ököritófülpös Vasúti Megállóhely;47.9167;22.5
3044688;Szentdénes;Szentdénes Vasúti Megállóhely;46.0333;17.9333
3055585;Balatonberény;Balatonberény Vasúti Megállóhely;46.7167;17.3167
3054635;Budapest-Keleti;Budapest-Keleti Pályaudvar;47.5005;19.0831
717986;Macs;Macs Vasútállomás;47.5667;21.4833
714147;Végegyháza;Végegyháza Vasúti Megállóhely;46.3833;20.8833
3053024;Feked;Feked Vasúti Megállóhely;46.1502;18.5561
3052032;Gyöngyöshermán;Gyöngyöshermán Vasúti Megállóhely;47.2028;16.6571
714741;Tiszalöki Vízművek;Tiszalöki Vízművek Vasúti Megállóhely;48.0167;21.3
3047677;Nagykanizsa;Nagykanizsa Vasútállomás;46.45;16.9833
3048251;Mecsekjánosi;Mecsekjánosi Vasútállomás;46.2167;18.25
3046714;Palota;Palotabozsok Vasútállomás;46.1333;18.65
3045293;Solymár;Solymár Vasútállomás;47.596;18.9495
721465;Debrecen-Tégláskert;Debrecen-Tégláskert Vasúti Megállóhely;47.5027;21.6084
714420;Újszász;Újszász Vasútállomás;47.2833;20.0667
714735;Tiszanagyfalu;Tiszanagyfalu Vasúti Megállóhely;48.1;21.5167
3054003;Csóka;Csókakő Vasúti Megállóhely;47.3333;18.2333
716261;Pusztaszakállas;Pusztaszakállas Vasúti Megállóhely;47.1833;20.5333
721426;Derecske-Vásártér;Derecske-Vásártér Vasúti Megállóhely;47.35;21.5833
3055195;Beled;Beled Vasútállomás;47.4666;17.0846
718889;Kismargita;Kismargita Vasúti Megállóhely;47.7167;21.1167
3053400;Ecser;Ecser Vasúti Megállóhely;47.4412;19.3141
3055193;Beleg;Beleg Vasútállomás;46.3167;17.4167
3056406;Adorján;Adorjánpuszta Vasúti Megállóhely;46.6333;18.35
3051182;Iklódbördőce;Iklódbördőce Vasúti Megállóhely;46.6;16.6167
715216;Szilvásvárad-Szalajkavölgy;Szilvásvárad-Szalajkavölgy Vasúti Megállóhely;48.1;20.3833
3050202;Kéthely;Kéthely Vasútállomás;46.65;17.4167
717719;Méhkerék;Méhkerék Vasúti Megállóhely;46.7833;21.4667
719961;Hódmezővásárhely;Hódmezővásárhely Vasútállomás;46.4167;20.35
3055987;Andocs;Andocs Vasúti Megállóhely;46.6465;17.8928
721207;Egyek;Egyek Vasútállomás;47.6333;20.8833
3046196;Porva-Csesznek;Porva-Csesznek Vasútállomás;47.3309;17.8404
718590;Kopáncs;Kopáncs Vasútállomás;46.3833;20.25
718009;Ludas;Ludas Vasútállomás;47.7167;20.1
3046507;Pécsudvard;Pécsudvard Vasútállomás;46.0167;18.2833
