vonalId;sorszam;geoid
20;3;3045492
20;4;3053916
20;5;3051119
20;6;3043094
20;7;3046395
20;8;3046854
20;9;3051880
20;10;3051879
20;11;3050784
20;12;3042922
20;13;3048370
20;14;3051511
20;15;3044670
20;16;3043098
20;17;3043099
20;18;3056353
20;19;3056356
20;20;3043751
20;21;3049528
20;22;3053710
20;23;3045267
20;24;3043650
20;25;3050579
20;26;3050243
20;27;3054963
20;28;3047403
20;29;3054532
20;30;3050366
20;31;3047557
20;32;3046851
20;33;3055667
20;34;3045486
20;35;3046206
20;36;3042976
20;37;3044307
21;1;3044307
21;2;3044308
21;3;3050992
21;4;3053344
21;5;3049427
21;6;3054443
21;7;3045938
21;8;3056069
21;9;3044668
23;1;3042635
23;2;3054959
23;3;3045549
23;4;3055605
23;5;3055606
23;6;3043879
23;7;3046003
23;8;3052106
23;9;3046868
23;10;3053973
23;11;3051182
23;12;3048843
23;13;3048842
23;14;3045924
25;1;3054532
25;2;3047403
25;3;3054963
25;4;3050364
25;5;3050958
25;6;3047407
25;7;3045821
25;8;3043359
25;9;3053830
25;10;3046813
25;11;3043670
25;12;3042644
25;13;3042644
25;14;3046770
25;15;3046258
25;16;3050374
25;17;3042597
25;18;3042635
25;19;3042636
25;20;3055980
25;21;3055706
25;22;3042599
25;23;3042639
25;24;3054664
25;25;3042611
25;26;3042615
26;1;3044137
26;2;3048827
26;3;3043294
26;4;3045065
26;5;3047247
26;6;3042632
26;7;3052222
26;8;3043359
29;1;3044771
29;2;3045038
29;3;3046246
29;4;3046242
29;5;3052509
29;6;3054447
29;7;3055593
29;8;3055554
29;9;3055562
29;10;3055589
29;11;3050602
29;12;3056095
29;13;3053937
29;14;3055587
29;15;3055564
29;16;3055820
29;17;3046860
29;18;3055595
29;19;3042568
29;20;3055527
29;21;3044527
29;22;3045835
29;23;3055541
29;24;3056440
29;25;3055731
29;26;3055729
29;27;3055726
29;28;3055733
29;29;3055727
29;30;3047416
29;31;3044137
30;1;3054641
30;2;3054636
30;3;3054661
30;4;6690926
30;5;3044099
30;6;3048325
30;7;3055409
30;8;3046364
30;9;3050646
30;10;3042991
30;11;3042996
30;12;3052377
30;13;3056396
30;14;3053692
30;15;3044771
30;16;3045038
30;17;3050057
30;18;3046243
30;19;3048833
